Product,Price,Ounces,Source,Price per ounce,Categories,First unique?
"Great Value Long Grain Enriched Rice, 5 lbs",3.34,80,Walmart,0.04175,10,1
"Gold Medal All Purpose Flour, Baking Flour, 10 lb Bag",7.47,160,Walmart,0.0466875,19,1
"Great Value Pure Granulated Sugar, 4 lb",3.07,64,Walmart,0.04796875,11,1
"Gold Medal All Purpose Flour, Baking Flour, 5 lb Bag",3.97,80,Walmart,0.049625,19,2
"Gold Medal Unbleached All Purpose Flour, Baking Flour, 5 lb Bag",3.97,80,Walmart,0.049625,19,3
Smart Way™ Granulated Sugar,3.49,69.8,Kroger,0.05,11,2
"Great Value Baking Soda, 4 lb",3.24,64,Walmart,0.050625,7,1
"Great Value Natural Brown Long Grain Rice, 32 oz",1.64,32,Walmart,0.05125,10,2
"Great Value Pure Granulated Sugar, 10 lb",8.46,160,Walmart,0.052875,11,3
"Great Value Long Grain Enriched Rice, 32 oz",1.77,32,Walmart,0.0553125,10,3
"NOW Foods Organic Cane Sugar, 2.5 lbs (1,134 g)",2.22,40,Walmart,0.0555,11,4
Great Value 75 sq ft Aluminum Foil,4.28,75,Walmart,0.057066667,18,1
"Great Value Baking Soda, 1 lb",0.92,16,Walmart,0.0575,7,2
"Great Value Long Grain Enriched Rice, 16 oz",0.92,16,Walmart,0.0575,10,4
"(12 pack) Great Value Dark Red Kidney Beans, 15.5 oz",11.04,186,Walmart,0.059354839,12,1
"Great Value Dark Red Kidney Beans, 15.5 oz",0.92,15.5,Walmart,0.059354839,12,2
"Great Value Light Red Kidney Beans, 15.5 oz",0.92,15.5,Walmart,0.059354839,12,3
"Great Value Dark Red Kidney Beans, No Salt Added, 15.5 oz",0.92,15.5,Walmart,0.059354839,12,4
"Great Value Great Northern Beans, 15.5 oz",0.92,15.5,Walmart,0.059354839,13,1
Kroger® Dark Red Kidney Beans,1,16.66666667,Kroger,0.06,12,5
Kroger® Great Northern Beans,1,16.66666667,Kroger,0.06,13,2
Kroger® Pure Baking Soda,0.99,16.5,Kroger,0.06,7,3
Welch's® Natural Concord Grape Spread,3.99,66.5,Kroger,0.06,17,1
Silk Dairy Free Vanilla Soy Milk Half Gallon,4.49,74.83333333,Kroger,0.06,8,1
Prego® Traditional Lower Sodium Pasta Sauce,2.79,45,Kroger,0.062,0,1
"Silk Dairy Free, Gluten Free, Original Soy Milk, 64 fl oz Half Gallon",3.97,64,Walmart,0.06203125,8,2
"Silk Dairy Free, Gluten Free, Unsweet Organic Soy Milk, 64 fl oz Half Gallon",3.97,64,Walmart,0.06203125,8,3
Kroger® No Salt Added Dark Red Kidney Beans,1,16,Kroger,0.0625,12,6
Kroger® Pure Baking Soda,0.99,15.5,Kroger,0.063870968,7,4
"Great Value Aluminum Foil, 25 sq ft",1.62,25,Walmart,0.0648,18,2
"Reynolds Wrap Everyday Strength Aluminum Foil, 75 square feet",4.87,75,Walmart,0.064933333,18,3
Kroger® Heavy Duty Aluminum Foil,4.99,75,Kroger,0.066533333,18,4
Kroger® Heavy Duty Aluminum Foil,4.99,75,Kroger,0.066533333,19,4
Gold Medal Premium Quality Bread Flour for Baking 5 lb,5.38,80,Walmart,0.06725,19,5
"Great Value Confectioners Powdered Sugar, 32 oz",2.22,32,Walmart,0.069375,2,1
"Great Value Light Brown Sugar, 32 oz",2.22,32,Walmart,0.069375,4,1
"(4 pack) Great Value Light Brown Sugar, 32 oz",8.88,128,Walmart,0.069375,4,2
Smart Way™ Granulated Sugar,7.69,109.8571429,Kroger,0.07,11,5
Reynolds Wrap® Aluminum Foil,4.99,71.28571429,Kroger,0.07,18,5
Reynolds Wrap® Aluminum Foil,4.99,71.28571429,Kroger,0.07,19,6
Silk Dairy Free Organic Unsweetened Plain Soy Milk Half Gallon,4.49,64,Kroger,0.07015625,8,4
Silk Dairy Free Protein Original Soy Milk Half Gallon,4.49,64,Kroger,0.07015625,8,5
"Great Value Great Northern Beans, 32 oz",2.26,32,Walmart,0.070625,13,3
"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 3 lb Resealable Bag",3.42,48,Walmart,0.07125,7,5
"Great Value Light Red Kidney Beans, 1 lb",1.22,16,Walmart,0.07625,12,7
"Great Value Canola Oil, 1 gal",9.98,128,Walmart,0.07796875,3,1
Kroger® Pure Canola Oil,3.79,48,Kroger,0.078958333,3,2
"Prego Traditional Pasta Sauce, 67 oz Jar",5.36,67,Walmart,0.08,0,2
Domino Premium Cane Powdered Sugar,3.99,49.875,Kroger,0.08,2,2
Simple Truth Organic® Cane Sugar,2.99,37.375,Kroger,0.08,4,3
"Bush's Dark Red Kidney Beans, Canned Beans, 16 oz",1.28,16,Walmart,0.08,12,8
Kroger® Aluminum Foil,3.99,49.875,Kroger,0.08,18,6
Kroger® Aluminum Foil,3.99,49.875,Kroger,0.08,19,7
Luck's® Great Northern Beans Seasoned with Pork,1.29,16,Kroger,0.080625,13,4
Simple Truth Organic® Dark Red Kidney Beans,1.25,15.5,Kroger,0.080645161,12,9
"Bush's Great Northern Beans, Canned Beans, 15.8 oz",1.28,15.8,Walmart,0.081012658,13,5
"(8 pack) Bush's Great Northern Beans, Canned Beans, 15.8 oz",10.24,126.4,Walmart,0.081012658,13,6
"(Pack of 6) Silk Organic Shelf-Stable Unsweetened Soy Milk, 1 Quart",15.79,192,Walmart,0.082239583,8,6
"(Pack of 6) Silk Shelf-Stable Original Soy Milk, 1 Quart",15.79,192,Walmart,0.082239583,8,7
Luck's Great Northern Beans Seasoned with Pork 15 oz Can,1.24,15,Walmart,0.082666667,13,7
"Great Value Heavy Duty Aluminum Foil, 50 Sq ft",4.28,50,Walmart,0.0856,18,7
"Great Value Canola Oil, 48 fl oz",4.12,48,Walmart,0.085833333,3,3
"Birds Eye Sweet Corn, Frozen Vegetables, 80 oz. Bag",6.92,80,Walmart,0.0865,14,1
"Birds Eye Mixed Vegetables, Corn, Carrots, Green Beans & Peas, Frozen Vegetables, 80 oz. Bag",6.92,80,Walmart,0.0865,15,1
"Domino Confectioners Sugar, Pure Cane, 10x Powdered, Allergen-Free, 4 lb (1.81 kg), Plastic Bag",5.54,64,Walmart,0.0865625,2,3
Kroger® 100% Pure Canola Oil,4.49,49.88888889,Kroger,0.09,3,4
Zulka® Morena® Pure Cane Sugar,4.99,55.44444444,Kroger,0.09,11,6
Kroger® Great Northern Beans,2.19,24.33333333,Kroger,0.09,13,8
"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 1 lb Box",1.47,16,Walmart,0.091875,7,6
"Gold Medal All Purpose Flour, Baking Flour, 2 lb Bag",2.98,32,Walmart,0.093125,19,8
"(3 pack) Carolina Organic Brown Long Grain Rice, Gluten Free, 2 lb Bag",8.94,96,Walmart,0.093125,10,5
"Prego Traditional Pasta Sauce, 45 oz Jar",4.23,45,Walmart,0.094,0,3
Goya® Red Kidney Beans,1.5,15.5,Kroger,0.096774194,12,10
Bush's Great Northern Beans 15.8 oz,1.5,15.5,Kroger,0.096774194,13,9
"Reynolds Wrap Heavy Duty Aluminum Foil, 12 Inch Wide, 50 Sq. Ft.",4.87,50,Walmart,0.0974,18,8
Gold Medal 16000-56573 Superlative Flour Bleached/Bromated/Enriched/Malted 50#,79,800,Walmart,0.09875,19,9
Reynolds Wrap® Non-Stick Aluminum Foil,4.99,50,Kroger,0.0998,18,9
Reynolds Wrap® Non-Stick Aluminum Foil,4.99,50,Kroger,0.0998,18,10
"(2 pack) Wesson Pure & Cholesterol Free Canola Oil, 128 fl oz",25.56,256,Walmart,0.09984375,3,5
Goya® Red Kidney Beans,2.49,24.9,Kroger,0.1,12,11
"Mahatma Jasmine Thai Fragrant Long Grain Rice, Gluten Free, 32 oz (2 lbs) (907 Grams)",3.22,32,Walmart,0.100625,10,6
"Prego Traditional Pasta Sauce, 24 oz Jar",2.48,24,Walmart,0.103333333,0,4
"Prego Italian Tomato Pasta Sauce with Roasted Garlic & Herbs, 24 oz Jar",2.48,24,Walmart,0.103333333,0,5
"Prego Italian Tomato Pasta Sauce Flavored with Meat, 24 oz Jar",2.48,24,Walmart,0.103333333,0,6
"Great Value Sugar Cannister, 20 oz",2.12,20,Walmart,0.106,11,7
"ARM & HAMMER Pure Baking Soda, For Baking, Cleaning & Deodorizing, 8 oz Box",0.87,8,Walmart,0.10875,7,7
Betty Crocker Bisquick Original Pancake and Baking Mix,5.99,54.45454545,Kroger,0.11,7,8
Prego® Marinara Sauce,2.79,25.36363636,Kroger,0.11,0,7
"Domino Confectioners Sugar, Pure Cane 10-x Powdered, 2lb (907g), Plastic Bag",3.57,32,Walmart,0.1115625,2,4
ARM & HAMMER Pure Baking Soda,1.79,16,Kroger,0.111875,7,9
"Crisco Pure Canola Oil, 40 fl oz",4.57,40,Walmart,0.11425,3,6
Domino Premium Pure Cane Dark Brown Sugar 2 lb,3.67,32,Walmart,0.1146875,4,4
Domino Premium Pure Cane Dark Brown Sugar 2lb. Zipper-pak,3.67,32,Walmart,0.1146875,4,5
Domino Premium Pure Cane Light Brown Sugar 2 lb. Zipper-Pak,3.67,32,Walmart,0.1146875,4,6
(3 pack) Domino Premium Pure Cane Dark Brown Sugar 2 lb,11.01,96,Walmart,0.1146875,4,7
"(6 pack) C&H Premium Cane Powdered Sugar, 2 lb",22.02,192,Walmart,0.1146875,2,5
"Great Value Great Northern Beans, 1 lb",1.87,16,Walmart,0.116875,13,10
"Pinnacle Foods Birds Eye Steamfresh Corn, 10.8 oz",1.27,10.8,Walmart,0.117592593,14,2
Prego® Traditional Pasta Sauce,2.79,23.25,Kroger,0.12,0,8
Prego® Homestyle Alfredo Pasta Sauce,2.79,23.25,Kroger,0.12,0,9
Otto's Gluten Free Cassava Flour,20.49,170.75,Kroger,0.12,2,6
"Wesson Pure & Cholesterol Free Canola Oil, 24 fl oz",2.88,24,Walmart,0.12,3,7
Kroger® Dark Brown Sugar,2.59,21.58333333,Kroger,0.12,4,8
Cobram Estate Everyday Essentials Classic,16.99,141.5833333,Kroger,0.12,3,8
"Birds Eye Steamfresh Super Sweet Corn, Frozen Vegetables, 10 oz. Bag",1.27,10,Walmart,0.127,14,3
"Birds Eye Steamfresh Sweet Peas, Frozen Vegetables, 10 oz. Bag",1.27,10,Walmart,0.127,15,2
Birds Eye Steamfresh Sweet Peas,1.27,10,Walmart,0.127,15,3
Simple Truth Organic® Light Brown Sugar,3,23.07692308,Kroger,0.13,4,9
Birds Eye Steamfresh Super Sweet Corn Frozen Vegetables,1.49,10.8,Kroger,0.137962963,15,4
"Great Value Light Brown Sugar, 32 oz",4.46,32,Walmart,0.139375,11,8
Simple Truth Organic® Canned Great Northern Beans,1.25,8.928571429,Kroger,0.14,13,11
Welch's® Natural Concord Grape Squeeze Spread,3.89,27,Kroger,0.144074074,17,2
"Welch's Natural Strawberry Spread, 27 oz Jar",3.98,27,Walmart,0.147407407,17,3
Welch's® Zero Sugar Strawberry Juice Drink,3.99,27,Kroger,0.147777778,17,4
Birds Eye Steamfresh Sweet Peas Frozen Vegetables,1.49,10,Kroger,0.149,14,4
Birds Eye Steamfresh Mixed Vegetables Frozen Vegetables,1.49,10,Kroger,0.149,14,5
Birds Eye Steamfresh Mixed Vegetables Frozen Vegetables,1.49,10,Kroger,0.149,15,5
Birds Eye Steamfresh Cut Green Beans Frozen Vegetables,1.49,10,Kroger,0.149,15,6
"Powdered Sugar, 32 oz- Pack of 5",23.97,160,Walmart,0.1498125,2,7
Birds Eye Steamfresh Super Sweet Corn Frozen Vegetables,1.49,9.933333333,Kroger,0.15,14,6
